# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
30,0.03380000591278076,0.1679692268371582,69,44.77704620361328
40,0.0037999749183654785,0.16023075580596924,105,67.10288572311401
5,0.12480002641677856,0.20980000495910645,48,30.026320695877075
10,0.06000000238418579,0.18272310495376587,63,38.45349192619324
20,0.036199986934661865,0.16938459873199463,75,47.01423764228821
30,0.03780001401901245,0.16458463668823242,64,41.33890104293823
40,0.018800020217895508,0.15898460149765015,76,48.65714883804321
5,0.1226000189781189,0.2176615595817566,89,52.15175437927246
10,0.059599995613098145,0.18072307109832764,75,45.907275676727295
20,0.03539997339248657,0.16718459129333496,74,46.41546106338501
30,0.024399995803833008,0.17180001735687256,84,56.79089641571045
40,0.03200000524520874,0.16510766744613647,72,49.41352152824402
5,0.11919999122619629,0.18950766324996948,29,21.48845410346985
10,0.1029999852180481,0.19203078746795654,34,26.344252824783325
20,0.03680002689361572,0.17276924848556519,77,52.2113823890686
30,0.01940000057220459,0.16426151990890503,88,60.2944438457489
40,0.04360002279281616,0.16256922483444214,70,48.156373500823975
5,0.11799997091293335,0.2160000205039978,59,39.54649090766907
10,0.05320000648498535,0.18136924505233765,94,57.401068449020386
20,0.025600016117095947,0.17230767011642456,81,50.452906370162964
30,0.04000002145767212,0.1677076816558838,71,45.9925594329834
40,0.019599974155426025,0.16101539134979248,92,61.509318828582764
5,0.12139999866485596,0.20161539316177368,51,31.560925722122192
10,0.08420002460479736,0.1916922926902771,60,38.11164879798889
20,0.0437999963760376,0.18021535873413086,72,49.287532567977905
30,0.015600025653839111,0.1647692322731018,91,64.14339065551758
40,0.015999972820281982,0.15907692909240723,78,53.96856904029846
5,0.10920000076293945,0.21240001916885376,88,53.489567041397095
10,0.06840002536773682,0.1868000030517578,71,45.87388300895691
20,0.029600024223327637,0.17310768365859985,80,53.345826864242554
30,0.03700000047683716,0.16650772094726562,77,51.218536138534546
40,0.011399984359741211,0.16264617443084717,89,63.149306774139404
5,0.10659998655319214,0.21296924352645874,81,52.544310092926025
10,0.06679999828338623,0.1730923056602478,48,33.8364098072052
20,0.03539997339248657,0.17810767889022827,95,65.38174891471863
30,0.06559997797012329,0.18173843622207642,78,52.66785430908203
40,0.015200018882751465,0.15873843431472778,81,55.08902955055237
5,0.17820000648498535,0.2672461271286011,95,58.275285720825195
10,0.07620000839233398,0.19495385885238647,80,50.30932140350342
20,0.033399999141693115,0.16516923904418945,79,51.50191068649292
30,0.033399999141693115,0.17218458652496338,80,52.17249345779419
40,0.024200022220611572,0.17470771074295044,86,60.13976836204529
5,0.11440002918243408,0.19495385885238647,46,35.81302309036255
10,0.05019998550415039,0.1811845898628235,78,55.82979941368103
20,0.03479999303817749,0.17313843965530396,75,52.64466619491577
30,0.031199991703033447,0.17089229822158813,87,60.47613048553467
40,0.009199976921081543,0.16369229555130005,94,65.00934171676636
5,0.12940001487731934,0.2250000238418579,89,57.40730953216553
10,0.056800007820129395,0.18112307786941528,71,49.85067844390869
